REGION,TECHNOLOGY,YEAR,VALUE
R1,TRANSMISSION,2020,646.61096
R1,TRANSMISSION,2021,660.24974
R1,TRANSMISSION,2022,673.88495
R1,TRANSMISSION,2023,687.52373
R1,TRANSMISSION,2024,701.15895
R1,TRANSMISSION,2025,714.79773
R1,TRANSMISSION,2026,728.43651
R1,TRANSMISSION,2027,742.07172
R1,TRANSMISSION,2028,755.7105
R1,TRANSMISSION,2029,769.34571
R1,TRANSMISSION,2030,782.98449
R1,TRANSMISSION,2031,796.62327
R1,TRANSMISSION,2032,810.25849
R1,TRANSMISSION,2033,823.89727
R1,TRANSMISSION,2034,837.53248
R1,TRANSMISSION,2035,851.17126
R1,TRANSMISSION,2036,864.81004
R1,TRANSMISSION,2037,878.44525
R1,TRANSMISSION,2038,892.08403
R1,TRANSMISSION,2039,905.71925
R1,TRANSMISSION,2040,919.35803
R1,TRANSMISSION,2041,932.99681
R1,TRANSMISSION,2042,946.63202
R1,TRANSMISSION,2043,960.2708
R1,TRANSMISSION,2044,973.90601
R1,TRANSMISSION,2045,987.54479
R1,TRANSMISSION,2046,1001.1836
R1,TRANSMISSION,2047,1014.8188
R1,TRANSMISSION,2048,1028.4576
R1,TRANSMISSION,2049,1042.0928
R1,TRANSMISSION,2050,1055.7316
R1,TRANSMISSION,2051,1069.3703
R1,TRANSMISSION,2052,1083.0056
R1,TRANSMISSION,2053,1096.6443
R1,TRANSMISSION,2054,1110.2795
R1,TRANSMISSION,2055,1123.9183
R1,TRANSMISSION,2056,1137.5571
R1,TRANSMISSION,2057,1151.1923
R1,TRANSMISSION,2058,1164.8311
R1,TRANSMISSION,2059,1178.4663
R1,TRANSMISSION,2060,1192.1051
R1,TRANSMISSION,2061,1205.7439
R1,TRANSMISSION,2062,1219.3791
R1,TRANSMISSION,2063,1233.0179
R1,TRANSMISSION,2064,1246.6531
R1,TRANSMISSION,2065,1260.2919
R1,TRANSMISSION,2066,1273.9306
R1,TRANSMISSION,2067,1287.5659
R1,TRANSMISSION,2068,1301.2046
R1,TRANSMISSION,2069,1314.8398
R1,TRANSMISSION,2070,1328.4786
R1,MINE_WATER,2020,40783.046
R1,MINE_WATER,2021,41643.272
R1,MINE_WATER,2022,42503.272
R1,MINE_WATER,2023,43363.497
R1,MINE_WATER,2024,44223.497
R1,MINE_WATER,2025,45083.722
R1,MINE_WATER,2026,45943.947
R1,MINE_WATER,2027,46803.947
R1,MINE_WATER,2028,47664.173
R1,MINE_WATER,2029,48524.173
R1,MINE_WATER,2030,49384.398
R1,MINE_WATER,2031,50244.623
R1,MINE_WATER,2032,51104.623
R1,MINE_WATER,2033,51964.848
R1,MINE_WATER,2034,52824.849
R1,MINE_WATER,2035,53685.074
R1,MINE_WATER,2036,54545.299
R1,MINE_WATER,2037,55405.299
R1,MINE_WATER,2038,56265.524
R1,MINE_WATER,2039,57125.524
R1,MINE_WATER,2040,57985.75
R1,MINE_WATER,2041,58845.975
R1,MINE_WATER,2042,59705.975
R1,MINE_WATER,2043,60566.2
R1,MINE_WATER,2044,61426.2
R1,MINE_WATER,2045,62286.425
R1,MINE_WATER,2046,63146.65
R1,MINE_WATER,2047,64006.651
R1,MINE_WATER,2048,64866.876
R1,MINE_WATER,2049,65726.876
R1,MINE_WATER,2050,66587.101
R1,MINE_WATER,2051,67447.326
R1,MINE_WATER,2052,68307.326
R1,MINE_WATER,2053,69167.552
R1,MINE_WATER,2054,70027.552
R1,MINE_WATER,2055,70887.777
R1,MINE_WATER,2056,71748.002
R1,MINE_WATER,2057,72608.002
R1,MINE_WATER,2058,73468.227
R1,MINE_WATER,2059,74328.227
R1,MINE_WATER,2060,75188.453
R1,MINE_WATER,2061,76048.678
R1,MINE_WATER,2062,76908.678
R1,MINE_WATER,2063,77768.903
R1,MINE_WATER,2064,78628.903
R1,MINE_WATER,2065,79489.128
R1,MINE_WATER,2066,80349.354
R1,MINE_WATER,2067,81209.354
R1,MINE_WATER,2068,82069.579
R1,MINE_WATER,2069,82929.579
R1,MINE_WATER,2070,83789.804
R1,HYDRO,2020,646.61096
R1,HYDRO,2021,660.24974
R1,HYDRO,2022,673.88495
R1,HYDRO,2023,687.52373
R1,HYDRO,2024,701.15895
R1,HYDRO,2025,714.79773
R1,HYDRO,2026,728.43651
R1,HYDRO,2027,742.07172
R1,HYDRO,2028,755.7105
R1,HYDRO,2029,769.34571
R1,HYDRO,2030,782.98449
R1,HYDRO,2031,796.62327
R1,HYDRO,2032,810.25849
R1,HYDRO,2033,823.89727
R1,HYDRO,2034,837.53248
R1,HYDRO,2035,851.17126
R1,HYDRO,2036,864.81004
R1,HYDRO,2037,878.44525
R1,HYDRO,2038,892.08403
R1,HYDRO,2039,905.71925
R1,HYDRO,2040,919.35803
R1,HYDRO,2041,932.99681
R1,HYDRO,2042,946.63202
R1,HYDRO,2043,960.2708
R1,HYDRO,2044,973.90601
R1,HYDRO,2045,987.54479
R1,HYDRO,2046,1001.1836
R1,HYDRO,2047,1014.8188
R1,HYDRO,2048,1028.4576
R1,HYDRO,2049,1042.0928
R1,HYDRO,2050,1055.7316
R1,HYDRO,2051,1069.3703
R1,HYDRO,2052,1083.0056
R1,HYDRO,2053,1096.6443
R1,HYDRO,2054,1110.2795
R1,HYDRO,2055,1123.9183
R1,HYDRO,2056,1137.5571
R1,HYDRO,2057,1151.1923
R1,HYDRO,2058,1164.8311
R1,HYDRO,2059,1178.4663
R1,HYDRO,2060,1192.1051
R1,HYDRO,2061,1205.7439
R1,HYDRO,2062,1219.3791
R1,HYDRO,2063,1233.0179
R1,HYDRO,2064,1246.6531
R1,HYDRO,2065,1260.2919
R1,HYDRO,2066,1273.9306
R1,HYDRO,2067,1287.5659
R1,HYDRO,2068,1301.2046
R1,HYDRO,2069,1314.8398
R1,HYDRO,2070,1328.4786
