REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINCOANPL,COANPL,2020,50.185193
GLOBAL,MINCOANPL,COANPL,2021,77.651124
GLOBAL,MINCOANPL,COANPL,2022,93.298713
GLOBAL,MINCOANPL,COANPL,2023,108.9463
GLOBAL,MINCOANPL,COANPL,2024,124.59389
GLOBAL,MINCOANPL,COANPL,2025,140.24148
GLOBAL,MINCOANPL,COANPL,2026,158.63946
GLOBAL,MINCOANPL,COANPL,2027,177.43274
GLOBAL,MINCOANPL,COANPL,2028,197.73126
GLOBAL,MINCOANPL,COANPL,2029,218.0301
GLOBAL,MINCOANPL,COANPL,2030,238.54101
GLOBAL,MINCOANPL,COANPL,2031,261.16633
GLOBAL,MINCOANPL,COANPL,2032,283.00163
GLOBAL,MINCOANPL,COANPL,2033,304.82805
GLOBAL,MINCOANPL,COANPL,2034,326.65752
GLOBAL,MINCOANPL,COANPL,2035,348.48393
GLOBAL,MINCOANPL,COANPL,2036,372.84054
GLOBAL,MINCOANPL,COANPL,2037,386.20018
GLOBAL,MINCOANPL,COANPL,2038,409.31523
GLOBAL,MINCOANPL,COANPL,2039,432.42737
GLOBAL,MINCOANPL,COANPL,2040,455.25406
GLOBAL,MINCOANPL,COANPL,2041,480.50955
GLOBAL,MINCOANPL,COANPL,2042,504.06642
GLOBAL,MINCOANPL,COANPL,2043,527.62328
GLOBAL,MINCOANPL,COANPL,2044,551.18014
GLOBAL,MINCOANPL,COANPL,2045,574.737
GLOBAL,MINCOANPL,COANPL,2046,600.81985
GLOBAL,MINCOANPL,COANPL,2047,626.90541
GLOBAL,MINCOANPL,COANPL,2048,652.98826
GLOBAL,MINCOANPL,COANPL,2049,679.07383
GLOBAL,MINCOANPL,COANPL,2050,705.15939
GLOBAL,MINCOANPL,COANPL,2051,737.98907
GLOBAL,MINCOANPL,COANPL,2052,770.81875
GLOBAL,MINCOANPL,COANPL,2053,803.64842
GLOBAL,MINCOANPL,COANPL,2054,836.48082
GLOBAL,MINCOANPL,COANPL,2055,869.31049
GLOBAL,MINCOANPL,COANPL,2056,905.70371
GLOBAL,MINCOANPL,COANPL,2057,942.09965
GLOBAL,MINCOANPL,COANPL,2058,978.49287
GLOBAL,MINCOANPL,COANPL,2059,1014.8888
GLOBAL,MINCOANPL,COANPL,2060,1051.282
GLOBAL,MINCOANPL,COANPL,2061,1091.2225
GLOBAL,MINCOANPL,COANPL,2062,1131.163
GLOBAL,MINCOANPL,COANPL,2063,1171.1034
GLOBAL,MINCOANPL,COANPL,2064,1211.0466
GLOBAL,MINCOANPL,COANPL,2065,1250.9871
GLOBAL,MINCOANPL,COANPL,2066,1294.6975
GLOBAL,MINCOANPL,COANPL,2067,1338.4079
GLOBAL,MINCOANPL,COANPL,2068,1382.1184
GLOBAL,MINCOANPL,COANPL,2069,1425.8315
GLOBAL,MINCOANPL,COANPL,2070,1469.5419
GLOBAL,MINGASNPL,GASNPL,2020,28.078693
GLOBAL,MINGASNPL,GASNPL,2021,19.647988
GLOBAL,MINGASNPL,GASNPL,2022,19.312037
GLOBAL,MINGASNPL,GASNPL,2023,18.976087
GLOBAL,MINGASNPL,GASNPL,2024,18.640136
GLOBAL,MINGASNPL,GASNPL,2025,18.304185
GLOBAL,MINGASNPL,GASNPL,2026,17.789427
GLOBAL,MINGASNPL,GASNPL,2027,16.631837
GLOBAL,MINGASNPL,GASNPL,2028,15.341555
GLOBAL,MINGASNPL,GASNPL,2029,14.051253
GLOBAL,MINGASNPL,GASNPL,2030,12.605071
GLOBAL,MINGASNPL,GASNPL,2031,11.388511
GLOBAL,MINGASNPL,GASNPL,2032,10.70084
GLOBAL,MINGASNPL,GASNPL,2033,10.019258
GLOBAL,MINGASNPL,GASNPL,2034,9.33758
GLOBAL,MINGASNPL,GASNPL,2035,8.6559976
GLOBAL,MINGASNPL,GASNPL,2036,7.8954037
GLOBAL,MINGASNPL,GASNPL,2037,9.5088544
GLOBAL,MINGASNPL,GASNPL,2038,9.0162921
GLOBAL,MINGASNPL,GASNPL,2039,8.5237917
GLOBAL,MINGASNPL,GASNPL,2040,8.0268357
GLOBAL,MINGASNPL,GASNPL,2041,7.5515018
GLOBAL,MINGASNPL,GASNPL,2042,8.1282422
GLOBAL,MINGASNPL,GASNPL,2043,8.7049827
GLOBAL,MINGASNPL,GASNPL,2044,9.2817231
GLOBAL,MINGASNPL,GASNPL,2045,9.8584635
GLOBAL,MINGASNPL,GASNPL,2046,10.497047
GLOBAL,MINGASNPL,GASNPL,2047,11.135698
GLOBAL,MINGASNPL,GASNPL,2048,11.774282
GLOBAL,MINGASNPL,GASNPL,2049,12.412932
GLOBAL,MINGASNPL,GASNPL,2050,13.030732
GLOBAL,MINGASNPL,GASNPL,2051,13.834498
GLOBAL,MINGASNPL,GASNPL,2052,14.638264
GLOBAL,MINGASNPL,GASNPL,2053,15.44203
GLOBAL,MINGASNPL,GASNPL,2054,16.245862
GLOBAL,MINGASNPL,GASNPL,2055,17.049628
GLOBAL,MINGASNPL,GASNPL,2056,17.94064
GLOBAL,MINGASNPL,GASNPL,2057,18.831718
GLOBAL,MINGASNPL,GASNPL,2058,19.72273
GLOBAL,MINGASNPL,GASNPL,2059,20.613808
GLOBAL,MINGASNPL,GASNPL,2060,21.50482
GLOBAL,MINGASNPL,GASNPL,2061,22.482679
GLOBAL,MINGASNPL,GASNPL,2062,23.460537
GLOBAL,MINGASNPL,GASNPL,2063,24.438396
GLOBAL,MINGASNPL,GASNPL,2064,25.416321
GLOBAL,MINGASNPL,GASNPL,2065,26.39418
GLOBAL,MINGASNPL,GASNPL,2066,27.464338
GLOBAL,MINGASNPL,GASNPL,2067,28.534497
GLOBAL,MINGASNPL,GASNPL,2068,29.604655
GLOBAL,MINGASNPL,GASNPL,2069,30.67488
GLOBAL,MINGASNPL,GASNPL,2070,31.745038
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2020,14.004592
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2021,9.7892391
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2022,9.6212638
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2023,9.4532885
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2024,9.2853132
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2025,9.1173378
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2026,8.8599589
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2027,8.2985409
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2028,7.6534002
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2029,7.0082493
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2030,6.3025357
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2031,5.6768781
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2032,5.3330427
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2033,4.9922515
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2034,4.6514126
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2035,4.3106214
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2036,3.9303244
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2037,4.7370498
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2038,4.4907686
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2039,4.2445184
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2040,3.9960404
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2041,3.7409961
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2042,4.0293663
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2043,4.3177365
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2044,4.6061068
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2045,4.894477
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2046,5.2137689
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2047,5.5330942
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2048,5.8523861
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2049,6.1717113
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2050,6.5153661
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2051,6.9172491
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2052,7.319132
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2053,7.721015
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2054,8.1229312
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2055,8.5248141
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2056,8.97032
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2057,9.4158591
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2058,9.861365
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2059,10.306904
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2060,10.75241
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2061,11.241339
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2062,11.730269
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2063,12.219198
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2064,12.708161
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2065,13.19709
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2066,13.732169
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2067,14.267248
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2068,14.802328
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2069,15.33744
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2070,15.872519
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2020,17.18671
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2021,26.592851
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2022,31.951614
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2023,37.310377
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2024,42.669141
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2025,48.027904
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2026,54.328582
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2027,60.764637
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2028,67.716184
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2029,74.667841
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2030,81.692126
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2031,89.440526
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2032,96.918368
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2033,104.39317
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2034,111.86901
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2035,119.34381
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2036,127.68512
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2037,132.26034
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2038,140.17645
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2039,148.09156
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2040,155.90892
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2041,164.55807
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2042,172.62548
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2043,180.6929
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2044,188.76032
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2045,196.82774
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2046,205.76022
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2047,214.69363
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2048,223.62612
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2049,232.55953
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2050,241.49294
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2051,252.73598
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2052,263.97902
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2053,275.22206
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2054,286.46603
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2055,297.70907
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2056,310.1725
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2057,322.63687
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2058,335.1003
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2059,347.56466
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2060,360.02809
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2061,373.70633
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2062,387.38457
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2063,401.06281
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2064,414.74199
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2065,428.42023
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2066,443.38955
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2067,458.35888
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2068,473.32821
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2069,488.29846
GLOBAL,PWRCOANPLXX01,ELCNPLXX01,2070,503.26779
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2020,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2021,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2022,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2023,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2024,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2025,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2026,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2027,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2028,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2029,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2030,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2031,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2032,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2033,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2034,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2035,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2036,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2037,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2038,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2039,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2040,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2041,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2042,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2043,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2044,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2045,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2046,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2047,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2048,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2049,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2050,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2051,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2052,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2053,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2054,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2055,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2056,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2057,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2058,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2059,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2060,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2061,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2062,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2063,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2064,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2065,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2066,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2067,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2068,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2069,8.1255207
GLOBAL,PWRHYDNPLXX01,ELCNPLXX01,2070,8.1255207
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2020,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2021,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2022,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2023,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2024,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2025,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2026,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2027,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2028,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2029,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2031,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2032,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2033,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2034,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2035,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2036,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2037,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2038,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2039,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2040,0.012164788
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2041,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2042,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2043,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2044,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2045,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2046,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2047,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2048,0.024329576
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2049,0.024329576
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2020,1.3084815
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2021,1.4810988
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2022,1.653716
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2023,1.8263333
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2024,1.9989505
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2025,2.1715678
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2026,2.4347752
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2027,2.8787097
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2028,2.8787097
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2029,2.8787097
GLOBAL,PWRSPVNPLXX01,ELCNPLXX01,2030,2.8787097
