REGION,FUEL,TIMESLICE,YEAR,VALUE
PHLLU,ELCPHLLU,S1D1H1,2020,0.005
PHLLU,ELCPHLLU,S1D1H2,2020,0.05
PHLLU,ELCPHLLU,S1D1H3,2020,0.05
PHLLU,ELCPHLLU,S1D1H4,2020,0.07
PHLLU,ELCPHLLU,S1D1H5,2020,0.05
PHLLU,ELCPHLLU,S1D1H6,2020,0.025
PHLLU,ELCPHLLU,S1D2H1,2020,0.005
PHLLU,ELCPHLLU,S1D2H2,2020,0.05
PHLLU,ELCPHLLU,S1D2H3,2020,0.05
PHLLU,ELCPHLLU,S1D2H4,2020,0.07
PHLLU,ELCPHLLU,S1D2H5,2020,0.05
PHLLU,ELCPHLLU,S1D2H6,2020,0.025
PHLLU,ELCPHLLU,S2D1H1,2020,0.005
PHLLU,ELCPHLLU,S2D1H2,2020,0.05
PHLLU,ELCPHLLU,S2D1H3,2020,0.05
PHLLU,ELCPHLLU,S2D1H4,2020,0.07
PHLLU,ELCPHLLU,S2D1H5,2020,0.05
PHLLU,ELCPHLLU,S2D1H6,2020,0.025
PHLLU,ELCPHLLU,S2D2H1,2020,0.005
PHLLU,ELCPHLLU,S2D2H2,2020,0.05
PHLLU,ELCPHLLU,S2D2H3,2020,0.05
PHLLU,ELCPHLLU,S2D2H4,2020,0.07
PHLLU,ELCPHLLU,S2D2H5,2020,0.05
PHLLU,ELCPHLLU,S2D2H6,2020,0.025
PHLLU,ELCPHLLU,S1D1H1,2021,0.005
PHLLU,ELCPHLLU,S1D1H2,2021,0.05
PHLLU,ELCPHLLU,S1D1H3,2021,0.05
PHLLU,ELCPHLLU,S1D1H4,2021,0.07
PHLLU,ELCPHLLU,S1D1H5,2021,0.05
PHLLU,ELCPHLLU,S1D1H6,2021,0.025
PHLLU,ELCPHLLU,S1D2H1,2021,0.005
PHLLU,ELCPHLLU,S1D2H2,2021,0.05
PHLLU,ELCPHLLU,S1D2H3,2021,0.05
PHLLU,ELCPHLLU,S1D2H4,2021,0.07
PHLLU,ELCPHLLU,S1D2H5,2021,0.05
PHLLU,ELCPHLLU,S1D2H6,2021,0.025
PHLLU,ELCPHLLU,S2D1H1,2021,0.005
PHLLU,ELCPHLLU,S2D1H2,2021,0.05
PHLLU,ELCPHLLU,S2D1H3,2021,0.05
PHLLU,ELCPHLLU,S2D1H4,2021,0.07
PHLLU,ELCPHLLU,S2D1H5,2021,0.05
PHLLU,ELCPHLLU,S2D1H6,2021,0.025
PHLLU,ELCPHLLU,S2D2H1,2021,0.005
PHLLU,ELCPHLLU,S2D2H2,2021,0.05
PHLLU,ELCPHLLU,S2D2H3,2021,0.05
PHLLU,ELCPHLLU,S2D2H4,2021,0.07
PHLLU,ELCPHLLU,S2D2H5,2021,0.05
PHLLU,ELCPHLLU,S2D2H6,2021,0.025
PHLLU,ELCPHLLU,S1D1H1,2022,0.005
PHLLU,ELCPHLLU,S1D1H2,2022,0.05
PHLLU,ELCPHLLU,S1D1H3,2022,0.05
PHLLU,ELCPHLLU,S1D1H4,2022,0.07
PHLLU,ELCPHLLU,S1D1H5,2022,0.05
PHLLU,ELCPHLLU,S1D1H6,2022,0.025
PHLLU,ELCPHLLU,S1D2H1,2022,0.005
PHLLU,ELCPHLLU,S1D2H2,2022,0.05
PHLLU,ELCPHLLU,S1D2H3,2022,0.05
PHLLU,ELCPHLLU,S1D2H4,2022,0.07
PHLLU,ELCPHLLU,S1D2H5,2022,0.05
PHLLU,ELCPHLLU,S1D2H6,2022,0.025
PHLLU,ELCPHLLU,S2D1H1,2022,0.005
PHLLU,ELCPHLLU,S2D1H2,2022,0.05
PHLLU,ELCPHLLU,S2D1H3,2022,0.05
PHLLU,ELCPHLLU,S2D1H4,2022,0.07
PHLLU,ELCPHLLU,S2D1H5,2022,0.05
PHLLU,ELCPHLLU,S2D1H6,2022,0.025
PHLLU,ELCPHLLU,S2D2H1,2022,0.005
PHLLU,ELCPHLLU,S2D2H2,2022,0.05
PHLLU,ELCPHLLU,S2D2H3,2022,0.05
PHLLU,ELCPHLLU,S2D2H4,2022,0.07
PHLLU,ELCPHLLU,S2D2H5,2022,0.05
PHLLU,ELCPHLLU,S2D2H6,2022,0.025
PHLLU,ELCPHLLU,S1D1H1,2023,0.005
PHLLU,ELCPHLLU,S1D1H2,2023,0.05
PHLLU,ELCPHLLU,S1D1H3,2023,0.05
PHLLU,ELCPHLLU,S1D1H4,2023,0.07
PHLLU,ELCPHLLU,S1D1H5,2023,0.05
PHLLU,ELCPHLLU,S1D1H6,2023,0.025
PHLLU,ELCPHLLU,S1D2H1,2023,0.005
PHLLU,ELCPHLLU,S1D2H2,2023,0.05
PHLLU,ELCPHLLU,S1D2H3,2023,0.05
PHLLU,ELCPHLLU,S1D2H4,2023,0.07
PHLLU,ELCPHLLU,S1D2H5,2023,0.05
PHLLU,ELCPHLLU,S1D2H6,2023,0.025
PHLLU,ELCPHLLU,S2D1H1,2023,0.005
PHLLU,ELCPHLLU,S2D1H2,2023,0.05
PHLLU,ELCPHLLU,S2D1H3,2023,0.05
PHLLU,ELCPHLLU,S2D1H4,2023,0.07
PHLLU,ELCPHLLU,S2D1H5,2023,0.05
PHLLU,ELCPHLLU,S2D1H6,2023,0.025
PHLLU,ELCPHLLU,S2D2H1,2023,0.005
PHLLU,ELCPHLLU,S2D2H2,2023,0.05
PHLLU,ELCPHLLU,S2D2H3,2023,0.05
PHLLU,ELCPHLLU,S2D2H4,2023,0.07
PHLLU,ELCPHLLU,S2D2H5,2023,0.05
PHLLU,ELCPHLLU,S2D2H6,2023,0.025
PHLLU,ELCPHLLU,S1D1H1,2024,0.005
PHLLU,ELCPHLLU,S1D1H2,2024,0.05
PHLLU,ELCPHLLU,S1D1H3,2024,0.05
PHLLU,ELCPHLLU,S1D1H4,2024,0.07
PHLLU,ELCPHLLU,S1D1H5,2024,0.05
PHLLU,ELCPHLLU,S1D1H6,2024,0.025
PHLLU,ELCPHLLU,S1D2H1,2024,0.005
PHLLU,ELCPHLLU,S1D2H2,2024,0.05
PHLLU,ELCPHLLU,S1D2H3,2024,0.05
PHLLU,ELCPHLLU,S1D2H4,2024,0.07
PHLLU,ELCPHLLU,S1D2H5,2024,0.05
PHLLU,ELCPHLLU,S1D2H6,2024,0.025
PHLLU,ELCPHLLU,S2D1H1,2024,0.005
PHLLU,ELCPHLLU,S2D1H2,2024,0.05
PHLLU,ELCPHLLU,S2D1H3,2024,0.05
PHLLU,ELCPHLLU,S2D1H4,2024,0.07
PHLLU,ELCPHLLU,S2D1H5,2024,0.05
PHLLU,ELCPHLLU,S2D1H6,2024,0.025
PHLLU,ELCPHLLU,S2D2H1,2024,0.005
PHLLU,ELCPHLLU,S2D2H2,2024,0.05
PHLLU,ELCPHLLU,S2D2H3,2024,0.05
PHLLU,ELCPHLLU,S2D2H4,2024,0.07
PHLLU,ELCPHLLU,S2D2H5,2024,0.05
PHLLU,ELCPHLLU,S2D2H6,2024,0.025
PHLLU,ELCPHLLU,S1D1H1,2025,0.005
PHLLU,ELCPHLLU,S1D1H2,2025,0.05
PHLLU,ELCPHLLU,S1D1H3,2025,0.05
PHLLU,ELCPHLLU,S1D1H4,2025,0.07
PHLLU,ELCPHLLU,S1D1H5,2025,0.05
PHLLU,ELCPHLLU,S1D1H6,2025,0.025
PHLLU,ELCPHLLU,S1D2H1,2025,0.005
PHLLU,ELCPHLLU,S1D2H2,2025,0.05
PHLLU,ELCPHLLU,S1D2H3,2025,0.05
PHLLU,ELCPHLLU,S1D2H4,2025,0.07
PHLLU,ELCPHLLU,S1D2H5,2025,0.05
PHLLU,ELCPHLLU,S1D2H6,2025,0.025
PHLLU,ELCPHLLU,S2D1H1,2025,0.005
PHLLU,ELCPHLLU,S2D1H2,2025,0.05
PHLLU,ELCPHLLU,S2D1H3,2025,0.05
PHLLU,ELCPHLLU,S2D1H4,2025,0.07
PHLLU,ELCPHLLU,S2D1H5,2025,0.05
PHLLU,ELCPHLLU,S2D1H6,2025,0.025
PHLLU,ELCPHLLU,S2D2H1,2025,0.005
PHLLU,ELCPHLLU,S2D2H2,2025,0.05
PHLLU,ELCPHLLU,S2D2H3,2025,0.05
PHLLU,ELCPHLLU,S2D2H4,2025,0.07
PHLLU,ELCPHLLU,S2D2H5,2025,0.05
PHLLU,ELCPHLLU,S2D2H6,2025,0.025
PHLLU,ELCPHLLU,S1D1H1,2026,0.005
PHLLU,ELCPHLLU,S1D1H2,2026,0.05
PHLLU,ELCPHLLU,S1D1H3,2026,0.05
PHLLU,ELCPHLLU,S1D1H4,2026,0.07
PHLLU,ELCPHLLU,S1D1H5,2026,0.05
PHLLU,ELCPHLLU,S1D1H6,2026,0.025
PHLLU,ELCPHLLU,S1D2H1,2026,0.005
PHLLU,ELCPHLLU,S1D2H2,2026,0.05
PHLLU,ELCPHLLU,S1D2H3,2026,0.05
PHLLU,ELCPHLLU,S1D2H4,2026,0.07
PHLLU,ELCPHLLU,S1D2H5,2026,0.05
PHLLU,ELCPHLLU,S1D2H6,2026,0.025
PHLLU,ELCPHLLU,S2D1H1,2026,0.005
PHLLU,ELCPHLLU,S2D1H2,2026,0.05
PHLLU,ELCPHLLU,S2D1H3,2026,0.05
PHLLU,ELCPHLLU,S2D1H4,2026,0.07
PHLLU,ELCPHLLU,S2D1H5,2026,0.05
PHLLU,ELCPHLLU,S2D1H6,2026,0.025
PHLLU,ELCPHLLU,S2D2H1,2026,0.005
PHLLU,ELCPHLLU,S2D2H2,2026,0.05
PHLLU,ELCPHLLU,S2D2H3,2026,0.05
PHLLU,ELCPHLLU,S2D2H4,2026,0.07
PHLLU,ELCPHLLU,S2D2H5,2026,0.05
PHLLU,ELCPHLLU,S2D2H6,2026,0.025
PHLLU,ELCPHLLU,S1D1H1,2027,0.005
PHLLU,ELCPHLLU,S1D1H2,2027,0.05
PHLLU,ELCPHLLU,S1D1H3,2027,0.05
PHLLU,ELCPHLLU,S1D1H4,2027,0.07
PHLLU,ELCPHLLU,S1D1H5,2027,0.05
PHLLU,ELCPHLLU,S1D1H6,2027,0.025
PHLLU,ELCPHLLU,S1D2H1,2027,0.005
PHLLU,ELCPHLLU,S1D2H2,2027,0.05
PHLLU,ELCPHLLU,S1D2H3,2027,0.05
PHLLU,ELCPHLLU,S1D2H4,2027,0.07
PHLLU,ELCPHLLU,S1D2H5,2027,0.05
PHLLU,ELCPHLLU,S1D2H6,2027,0.025
PHLLU,ELCPHLLU,S2D1H1,2027,0.005
PHLLU,ELCPHLLU,S2D1H2,2027,0.05
PHLLU,ELCPHLLU,S2D1H3,2027,0.05
PHLLU,ELCPHLLU,S2D1H4,2027,0.07
PHLLU,ELCPHLLU,S2D1H5,2027,0.05
PHLLU,ELCPHLLU,S2D1H6,2027,0.025
PHLLU,ELCPHLLU,S2D2H1,2027,0.005
PHLLU,ELCPHLLU,S2D2H2,2027,0.05
PHLLU,ELCPHLLU,S2D2H3,2027,0.05
PHLLU,ELCPHLLU,S2D2H4,2027,0.07
PHLLU,ELCPHLLU,S2D2H5,2027,0.05
PHLLU,ELCPHLLU,S2D2H6,2027,0.025
PHLLU,ELCPHLLU,S1D1H1,2028,0.005
PHLLU,ELCPHLLU,S1D1H2,2028,0.05
PHLLU,ELCPHLLU,S1D1H3,2028,0.05
PHLLU,ELCPHLLU,S1D1H4,2028,0.07
PHLLU,ELCPHLLU,S1D1H5,2028,0.05
PHLLU,ELCPHLLU,S1D1H6,2028,0.025
PHLLU,ELCPHLLU,S1D2H1,2028,0.005
PHLLU,ELCPHLLU,S1D2H2,2028,0.05
PHLLU,ELCPHLLU,S1D2H3,2028,0.05
PHLLU,ELCPHLLU,S1D2H4,2028,0.07
PHLLU,ELCPHLLU,S1D2H5,2028,0.05
PHLLU,ELCPHLLU,S1D2H6,2028,0.025
PHLLU,ELCPHLLU,S2D1H1,2028,0.005
PHLLU,ELCPHLLU,S2D1H2,2028,0.05
PHLLU,ELCPHLLU,S2D1H3,2028,0.05
PHLLU,ELCPHLLU,S2D1H4,2028,0.07
PHLLU,ELCPHLLU,S2D1H5,2028,0.05
PHLLU,ELCPHLLU,S2D1H6,2028,0.025
PHLLU,ELCPHLLU,S2D2H1,2028,0.005
PHLLU,ELCPHLLU,S2D2H2,2028,0.05
PHLLU,ELCPHLLU,S2D2H3,2028,0.05
PHLLU,ELCPHLLU,S2D2H4,2028,0.07
PHLLU,ELCPHLLU,S2D2H5,2028,0.05
PHLLU,ELCPHLLU,S2D2H6,2028,0.025
PHLLU,ELCPHLLU,S1D1H1,2029,0.005
PHLLU,ELCPHLLU,S1D1H2,2029,0.05
PHLLU,ELCPHLLU,S1D1H3,2029,0.05
PHLLU,ELCPHLLU,S1D1H4,2029,0.07
PHLLU,ELCPHLLU,S1D1H5,2029,0.05
PHLLU,ELCPHLLU,S1D1H6,2029,0.025
PHLLU,ELCPHLLU,S1D2H1,2029,0.005
PHLLU,ELCPHLLU,S1D2H2,2029,0.05
PHLLU,ELCPHLLU,S1D2H3,2029,0.05
PHLLU,ELCPHLLU,S1D2H4,2029,0.07
PHLLU,ELCPHLLU,S1D2H5,2029,0.05
PHLLU,ELCPHLLU,S1D2H6,2029,0.025
PHLLU,ELCPHLLU,S2D1H1,2029,0.005
PHLLU,ELCPHLLU,S2D1H2,2029,0.05
PHLLU,ELCPHLLU,S2D1H3,2029,0.05
PHLLU,ELCPHLLU,S2D1H4,2029,0.07
PHLLU,ELCPHLLU,S2D1H5,2029,0.05
PHLLU,ELCPHLLU,S2D1H6,2029,0.025
PHLLU,ELCPHLLU,S2D2H1,2029,0.005
PHLLU,ELCPHLLU,S2D2H2,2029,0.05
PHLLU,ELCPHLLU,S2D2H3,2029,0.05
PHLLU,ELCPHLLU,S2D2H4,2029,0.07
PHLLU,ELCPHLLU,S2D2H5,2029,0.05
PHLLU,ELCPHLLU,S2D2H6,2029,0.025
PHLLU,ELCPHLLU,S1D1H1,2030,0.005
PHLLU,ELCPHLLU,S1D1H2,2030,0.05
PHLLU,ELCPHLLU,S1D1H3,2030,0.05
PHLLU,ELCPHLLU,S1D1H4,2030,0.07
PHLLU,ELCPHLLU,S1D1H5,2030,0.05
PHLLU,ELCPHLLU,S1D1H6,2030,0.025
PHLLU,ELCPHLLU,S1D2H1,2030,0.005
PHLLU,ELCPHLLU,S1D2H2,2030,0.05
PHLLU,ELCPHLLU,S1D2H3,2030,0.05
PHLLU,ELCPHLLU,S1D2H4,2030,0.07
PHLLU,ELCPHLLU,S1D2H5,2030,0.05
PHLLU,ELCPHLLU,S1D2H6,2030,0.025
PHLLU,ELCPHLLU,S2D1H1,2030,0.005
PHLLU,ELCPHLLU,S2D1H2,2030,0.05
PHLLU,ELCPHLLU,S2D1H3,2030,0.05
PHLLU,ELCPHLLU,S2D1H4,2030,0.07
PHLLU,ELCPHLLU,S2D1H5,2030,0.05
PHLLU,ELCPHLLU,S2D1H6,2030,0.025
PHLLU,ELCPHLLU,S2D2H1,2030,0.005
PHLLU,ELCPHLLU,S2D2H2,2030,0.05
PHLLU,ELCPHLLU,S2D2H3,2030,0.05
PHLLU,ELCPHLLU,S2D2H4,2030,0.07
PHLLU,ELCPHLLU,S2D2H5,2030,0.05
PHLLU,ELCPHLLU,S2D2H6,2030,0.025
PHLLU,ELCPHLLU,S1D1H1,2031,0.005
PHLLU,ELCPHLLU,S1D1H2,2031,0.05
PHLLU,ELCPHLLU,S1D1H3,2031,0.05
PHLLU,ELCPHLLU,S1D1H4,2031,0.07
PHLLU,ELCPHLLU,S1D1H5,2031,0.05
PHLLU,ELCPHLLU,S1D1H6,2031,0.025
PHLLU,ELCPHLLU,S1D2H1,2031,0.005
PHLLU,ELCPHLLU,S1D2H2,2031,0.05
PHLLU,ELCPHLLU,S1D2H3,2031,0.05
PHLLU,ELCPHLLU,S1D2H4,2031,0.07
PHLLU,ELCPHLLU,S1D2H5,2031,0.05
PHLLU,ELCPHLLU,S1D2H6,2031,0.025
PHLLU,ELCPHLLU,S2D1H1,2031,0.005
PHLLU,ELCPHLLU,S2D1H2,2031,0.05
PHLLU,ELCPHLLU,S2D1H3,2031,0.05
PHLLU,ELCPHLLU,S2D1H4,2031,0.07
PHLLU,ELCPHLLU,S2D1H5,2031,0.05
PHLLU,ELCPHLLU,S2D1H6,2031,0.025
PHLLU,ELCPHLLU,S2D2H1,2031,0.005
PHLLU,ELCPHLLU,S2D2H2,2031,0.05
PHLLU,ELCPHLLU,S2D2H3,2031,0.05
PHLLU,ELCPHLLU,S2D2H4,2031,0.07
PHLLU,ELCPHLLU,S2D2H5,2031,0.05
PHLLU,ELCPHLLU,S2D2H6,2031,0.025
PHLLU,ELCPHLLU,S1D1H1,2032,0.005
PHLLU,ELCPHLLU,S1D1H2,2032,0.05
PHLLU,ELCPHLLU,S1D1H3,2032,0.05
PHLLU,ELCPHLLU,S1D1H4,2032,0.07
PHLLU,ELCPHLLU,S1D1H5,2032,0.05
PHLLU,ELCPHLLU,S1D1H6,2032,0.025
PHLLU,ELCPHLLU,S1D2H1,2032,0.005
PHLLU,ELCPHLLU,S1D2H2,2032,0.05
PHLLU,ELCPHLLU,S1D2H3,2032,0.05
PHLLU,ELCPHLLU,S1D2H4,2032,0.07
PHLLU,ELCPHLLU,S1D2H5,2032,0.05
PHLLU,ELCPHLLU,S1D2H6,2032,0.025
PHLLU,ELCPHLLU,S2D1H1,2032,0.005
PHLLU,ELCPHLLU,S2D1H2,2032,0.05
PHLLU,ELCPHLLU,S2D1H3,2032,0.05
PHLLU,ELCPHLLU,S2D1H4,2032,0.07
PHLLU,ELCPHLLU,S2D1H5,2032,0.05
PHLLU,ELCPHLLU,S2D1H6,2032,0.025
PHLLU,ELCPHLLU,S2D2H1,2032,0.005
PHLLU,ELCPHLLU,S2D2H2,2032,0.05
PHLLU,ELCPHLLU,S2D2H3,2032,0.05
PHLLU,ELCPHLLU,S2D2H4,2032,0.07
PHLLU,ELCPHLLU,S2D2H5,2032,0.05
PHLLU,ELCPHLLU,S2D2H6,2032,0.025
PHLLU,ELCPHLLU,S1D1H1,2033,0.005
PHLLU,ELCPHLLU,S1D1H2,2033,0.05
PHLLU,ELCPHLLU,S1D1H3,2033,0.05
PHLLU,ELCPHLLU,S1D1H4,2033,0.07
PHLLU,ELCPHLLU,S1D1H5,2033,0.05
PHLLU,ELCPHLLU,S1D1H6,2033,0.025
PHLLU,ELCPHLLU,S1D2H1,2033,0.005
PHLLU,ELCPHLLU,S1D2H2,2033,0.05
PHLLU,ELCPHLLU,S1D2H3,2033,0.05
PHLLU,ELCPHLLU,S1D2H4,2033,0.07
PHLLU,ELCPHLLU,S1D2H5,2033,0.05
PHLLU,ELCPHLLU,S1D2H6,2033,0.025
PHLLU,ELCPHLLU,S2D1H1,2033,0.005
PHLLU,ELCPHLLU,S2D1H2,2033,0.05
PHLLU,ELCPHLLU,S2D1H3,2033,0.05
PHLLU,ELCPHLLU,S2D1H4,2033,0.07
PHLLU,ELCPHLLU,S2D1H5,2033,0.05
PHLLU,ELCPHLLU,S2D1H6,2033,0.025
PHLLU,ELCPHLLU,S2D2H1,2033,0.005
PHLLU,ELCPHLLU,S2D2H2,2033,0.05
PHLLU,ELCPHLLU,S2D2H3,2033,0.05
PHLLU,ELCPHLLU,S2D2H4,2033,0.07
PHLLU,ELCPHLLU,S2D2H5,2033,0.05
PHLLU,ELCPHLLU,S2D2H6,2033,0.025
PHLLU,ELCPHLLU,S1D1H1,2034,0.005
PHLLU,ELCPHLLU,S1D1H2,2034,0.05
PHLLU,ELCPHLLU,S1D1H3,2034,0.05
PHLLU,ELCPHLLU,S1D1H4,2034,0.07
PHLLU,ELCPHLLU,S1D1H5,2034,0.05
PHLLU,ELCPHLLU,S1D1H6,2034,0.025
PHLLU,ELCPHLLU,S1D2H1,2034,0.005
PHLLU,ELCPHLLU,S1D2H2,2034,0.05
PHLLU,ELCPHLLU,S1D2H3,2034,0.05
PHLLU,ELCPHLLU,S1D2H4,2034,0.07
PHLLU,ELCPHLLU,S1D2H5,2034,0.05
PHLLU,ELCPHLLU,S1D2H6,2034,0.025
PHLLU,ELCPHLLU,S2D1H1,2034,0.005
PHLLU,ELCPHLLU,S2D1H2,2034,0.05
PHLLU,ELCPHLLU,S2D1H3,2034,0.05
PHLLU,ELCPHLLU,S2D1H4,2034,0.07
PHLLU,ELCPHLLU,S2D1H5,2034,0.05
PHLLU,ELCPHLLU,S2D1H6,2034,0.025
PHLLU,ELCPHLLU,S2D2H1,2034,0.005
PHLLU,ELCPHLLU,S2D2H2,2034,0.05
PHLLU,ELCPHLLU,S2D2H3,2034,0.05
PHLLU,ELCPHLLU,S2D2H4,2034,0.07
PHLLU,ELCPHLLU,S2D2H5,2034,0.05
PHLLU,ELCPHLLU,S2D2H6,2034,0.025
PHLLU,ELCPHLLU,S1D1H1,2035,0.005
PHLLU,ELCPHLLU,S1D1H2,2035,0.05
PHLLU,ELCPHLLU,S1D1H3,2035,0.05
PHLLU,ELCPHLLU,S1D1H4,2035,0.07
PHLLU,ELCPHLLU,S1D1H5,2035,0.05
PHLLU,ELCPHLLU,S1D1H6,2035,0.025
PHLLU,ELCPHLLU,S1D2H1,2035,0.005
PHLLU,ELCPHLLU,S1D2H2,2035,0.05
PHLLU,ELCPHLLU,S1D2H3,2035,0.05
PHLLU,ELCPHLLU,S1D2H4,2035,0.07
PHLLU,ELCPHLLU,S1D2H5,2035,0.05
PHLLU,ELCPHLLU,S1D2H6,2035,0.025
PHLLU,ELCPHLLU,S2D1H1,2035,0.005
PHLLU,ELCPHLLU,S2D1H2,2035,0.05
PHLLU,ELCPHLLU,S2D1H3,2035,0.05
PHLLU,ELCPHLLU,S2D1H4,2035,0.07
PHLLU,ELCPHLLU,S2D1H5,2035,0.05
PHLLU,ELCPHLLU,S2D1H6,2035,0.025
PHLLU,ELCPHLLU,S2D2H1,2035,0.005
PHLLU,ELCPHLLU,S2D2H2,2035,0.05
PHLLU,ELCPHLLU,S2D2H3,2035,0.05
PHLLU,ELCPHLLU,S2D2H4,2035,0.07
